Title	FRED Chemgauss4 score
2C_CG2012	P10000014	-13.941046
C70550714	P108825876	-13.694017
C91468339	P143138873	-13.488708
cmpd14b_JGP2019	P10000040	-13.293245
5C_CG2012	P10000008	-13.168388
Y-4-FBP	P10000005	-13.091598
C31369265	P118184606	-12.928673
C92781676	P145255482	-12.879845
C90654700	P141782913	-12.804417
C94263729	P147740637	-12.779313
C75108405	P116956145	-12.754944
C91016112	P142397436	-12.600559
C97177845	P153861867	-12.529377
C73602805	P114608525	-12.456744
C80540843	P125773190	-12.442696
C79783087	P124652744	-12.398876
C92996988	P145595040	-12.356902
C98309401	P156374145	-12.318846
C93853010	P147069188	-12.260221
C63130397	P96934657	-12.238177
C55060960	P82932939	-12.166073
C93688486	P146754841	-12.098417
C82161598	P128260631	-12.098066
C80530259	P125734626	-12.074480
C31369269	P118184604	-12.017130
C89483857	P139880504	-11.996209
C44924196	P67720670	-11.950683
C85909496	P134507222	-11.941437
C93429035	P146298012	-11.927350
TFB-TBOA	-11.926816
C79000372	P123335450	-11.924332
cmpd10_frontiers2018	P10000039	-11.919731
C35367280	P52475196	-11.888645
C94262347	P147739855	-11.872365
C88853175	P138986328	-11.863171
C06759849	P10673122	-11.859426
C94338501	P147859251	-11.859238
C97236316	P153968216	-11.827749
lig_from_structure	-11.824744
C68634020	P105372851	-11.820082
C58195219	P87824751	-11.807040
C40348239	P61248580	-11.779943
cmpd16b_JGP2019	P10000012	-11.772615
3C_CG2012	P10000018	-11.739176
C80540978	P125746331	-11.738498
C55153518	P83084771	-11.731428
C00077383	P13592533	-11.725070
C91499904	P143187935	-11.691611
C91503966	P143194116	-11.670393
C72128274	P111969138	-11.614923
C85378026	P133586410	-11.609900
C35354207	P52456403	-11.582129
C78955199	P123237055	-11.573131
C51113450	P76540547	-11.544446
C71297163	P110220857	-11.536821
C70239150	P108268807	-11.526905
C40331928	P61226507	-11.518907
C03198473	P07484505	-11.512215
C92799609	P145297781	-11.483456
C39950027	P97167809	-11.439088
C95046220	P149005380	-11.412934
C90931135	P142254808	-11.392807
C85962559	P134593572	-11.390948
C80042850	P125038093	-11.376194
C00176323	P13238747	-11.362492
C80745907	P126057400	-11.352375
C84081042	P131595110	-11.325436
C72012622	P111774762	-11.317793
C48248090	P128160691	-11.307534
C93756940	P146892601	-11.305966
C79910210	P124846163	-11.281048
C98077085	P155853031	-11.279158
C94567135	P148238501	-11.268444
C80443901	P125616329	-11.267097
C62701028	P96198372	-11.264321
C37052890	P55080318	-11.255326
C65150707	P100121503	-11.238415
C94763834	P148525057	-11.213699
C89491263	P139889590	-11.204381
C69369003	P106728978	-11.194904
