Title	FRED Chemgauss4 score
5C_CG2012	P10000008	-13.919043
2C_CG2012	P10000014	-13.134476
3C_CG2012	P10000018	-12.741322
C94262347	P147739855	-11.693546
C94263729	P147740637	-11.248054
C92781676	P145255482	-11.152527
C85909496	P134507222	-11.111241
lig_from_structure	-10.682622
C79403161	P124075411	-10.666153
C61875170	P94810310	-10.649652
BenzylCysteine	P10000006	-10.437839
C05248176	P07761419	-10.373398
BenzylSerine	P10000007	-10.171827
C90931135	P142254808	-10.148143
cmpd16b_JGP2019	P10000012	-10.132319
C94208176	P147647080	-10.113379
C44265826	P66858087	-10.097076
C79000372	P123335450	-10.090018
C40710439	P61811697	-10.046499
cmpd14b_JGP2019	P10000040	-10.039877
C39421458	P59746003	-10.038302
C50393690	P75386039	-10.018183
C87968908	P137595317	-9.962408
C88037217	P137697158	-9.943403
C39959114	P97216792	-9.912069
C63180763	P97025531	-9.880460
C19323396	P28918816	-9.880128
C79970268	P124969563	-9.867126
C91503966	P143194116	-9.855496
C36873883	P54807718	-9.847187
C36896014	P54845933	-9.843901
C67783339	P104079223	-9.837221
C87969103	P137597619	-9.810115
C87427525	P136769772	-9.741675
C72012622	P111774762	-9.729631
Y-2-triFBP	P10000004	-9.666962
C83778409	P131081128	-9.633152
C91131479	P142561522	-9.623798
C91504798	P143198797	-9.608339
C69369003	P106728978	-9.578645
Y-4-FBP	P10000005	-9.564398
C54791059	P82480672	-9.563318
C48877286	P73025058	-9.555665
C77426586	P120815757	-9.475117
C71178555	P109891495	-9.469704
C48977008	P73168995	-9.436104
C06184893	P09576532	-9.400630
C35415528	P52545805	-9.396282
C45084447	P128457551	-9.349321
C94719907	P148464092	-9.334085
C89483857	P139880504	-9.307034
C06184878	P09576514	-9.298438
C80443901	P125616329	-9.253944
C35423264	P52560422	-9.253397
C87395422	P136731529	-9.243820
L-Glutamine	P10000020	-9.217514
C37438702	P55668415	-9.210574
C82870303	P129537025	-9.187734
C93778801	P146919869	-9.180866
C97910502	P155409201	-9.175015
C71148292	P109848264	-9.142517
C88889534	P139043986	-9.136709
C45064847	P67934202	-9.135267
C35354207	P52456403	-9.103592
C86456111	P135359542	-9.088198
C89855498	P140455637	-9.075016
C21813873	P32484664	-9.018930
C83778410	P131081130	-9.015465
TBOA	-9.010599
C87750457	P137259032	-9.000926
C43057664	P118380554	-8.993764
C45088381	P67962157	-8.991606
C87993543	P137628739	-8.979162
C84057443	P131527988	-8.977999
C82644253	P129155959	-8.975146
C79928687	P124912760	-8.965761
L-DOPS	P10000036	-8.932905
C40369350	P61284191	-8.921969
C94871780	P148706777	-8.914928
C83467584	P130570487	-8.907517
C67820544	P104133783	-8.901459
C94763834	P148525057	-8.895023
C90493141	P141528232	-8.871468
C19331409	P28924605	-8.867107
C97104505	P153724932	-8.865593
C40377149	P61293722	-8.859406
C85378026	P133586410	-8.837698
C41058875	P62326300	-8.834908
C01646389	P06812831	-8.832062
C45169388	P68083549	-8.827009
C19428761	P28756483	-8.794333
C87875617	P137452266	-8.760504
C40348239	P61248580	-8.745233
C84208274	P131759461	-8.725890
C75848109	P118209303	-8.721985
C51362684	P76947179	-8.702463
C62701028	P96198372	-8.690709
C70521692	P108791441	-8.678349
C92496043	P144788371	-8.678198
C70037314	P107964016	-8.660134
C49589096	P74062086	-8.656275
C89752394	P140315060	-8.647993
C87446021	P136813038	-8.624502
C37191777	P55304598	-8.612644
C70842458	P128807509	-8.582660
C98309401	P156374145	-8.579559
C54897756	P82660573	-8.501552
C89197721	P139498389	-8.496192
C36915741	P54887083	-8.488799
C41068534	P62332866	-8.483634
C95393957	P149847473	-8.476232
C49753446	P74337722	-8.475994
Schulte-2015	P10000001	-8.472349
C82263403	P128500246	-8.443135
C64858422	P99657934	-8.441469
C54700285	P82325531	-8.436539
C87886071	P137463365	-8.435225
C25629123	P37871821	-8.400694
C33636969	P49840826	-8.399745
C87667525	P137128337	-8.390242
C89021442	P139237345	-8.388454
C42443275	P64209734	-8.372462
C86456117	P135352603	-8.350423
C37661522	P56014844	-8.338538
C35354185	P52456381	-8.330201
C70415977	P108563875	-8.324375
C88803396	P138914308	-8.308527
C45109192	P68000615	-8.302017
C84057466	P131528030	-8.288753
C85133553	P133223209	-8.279040
C84057443	P131532065	-8.277290
C94567135	P148238501	-8.264583
C51995896	P77859556	-8.257771
C63135618	P96947687	-8.256254
C90670312	P141810387	-8.251104
C88067459	P137750760	-8.250463
